epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
189,0.015875,0.017656,0.864711,0.087181,0.130061,0.00001317
190,0.015857,0.017612,0.865319,0.087128,0.129769,0.00001109
191,0.015829,0.017612,0.865052,0.086820,0.129897,0.00000918
192,0.015800,0.017615,0.865204,0.086940,0.129824,0.00000746
193,0.015847,0.017588,0.865486,0.086911,0.129689,0.00000591
194,0.015866,0.017607,0.865327,0.086978,0.129765,0.00000454
195,0.015838,0.017580,0.865600,0.086998,0.129633,0.00000335
196,0.015856,0.017596,0.865264,0.086857,0.129795,0.00000234
197,0.015828,0.017610,0.865188,0.086995,0.129832,0.00000151
198,0.015797,0.017589,0.865533,0.087009,0.129666,0.00000086
199,0.015808,0.017597,0.865435,0.086969,0.129713,0.00000040
200,0.015784,0.017610,0.865418,0.086975,0.129721,0.00000011
